11,20,10,29,29,18,11,21,12,12,14,16,21,20,16,15,15,21,20,18,18,24,18,20,23
19,20,22,15,20,19,19,23,17,10,18,12,16,18,27,21,18,18,14,17,15,19,15,22,18
20,19,11,22,12,15,17,18,14,18,19,13,19,15,17,25,20,25,22,16,20,14,19,17,25
23,17,12,19,16,21,23,20,20,32,16,22,14,20,15,15,15,14,15,10,20,18,26,17,12
24,22,21,18,17,14,17,19,14,21,18,21,14,22,17,15,24,17,23,16,19,15,25,8,11
15,22,12,17,22,19,13,21,23,11,17,19,24,13,13,22,18,16,16,17,16,16,30,16,24
19,17,31,19,13,19,10,16,20,19,19,18,16,14,22,20,18,19,25,16,15,16,21,18,12
14,23,24,25,22,13,14,19,18,17,15,19,15,23,10,24,16,17,18,19,16,16,15,15,25
24,20,19,12,15,21,28,9,17,28,20,18,16,17,11,19,19,24,19,15,11,17,19,20,14
24,15,15,22,19,22,15,16,16,19,23,12,18,23,15,20,17,20,15,23,18,14,8,22,21
17,24,11,19,22,16,18,21,20,26,14,23,15,11,17,20,19,19,15,11,15,23,16,17,23
20,23,14,19,20,11,15,20,26,20,11,15,18,18,16,18,25,12,19,22,15,13,23,23,16
21,16,17,16,15,15,27,19,20,16,23,21,25,16,23,22,18,11,18,16,20,15,13,14,15
21,19,26,18,18,16,22,13,21,19,18,20,16,16,16,15,25,16,15,15,17,18,15,15,22
13,21,25,21,13,30,21,12,12,12,19,21,16,19,10,21,18,12,16,22,16,25,19,19,19
29,13,18,11,15,24,22,21,22,14,21,16,15,25,15,15,13,16,20,14,13,22,16,21,21
26,25,15,19,21,24,15,14,18,22,21,15,18,14,16,21,20,10,15,20,23,15,11,19,15
12,21,19,15,19,20,16,16,21,19,22,18,21,13,18,21,16,10,16,26,22,23,24,10,14
17,19,15,11,15,12,14,18,26,26,25,13,18,15,14,27,23,18,19,14,21,24,12,23,13
16,19,12,15,8,16,26,19,14,20,22,20,19,21,25,19,20,19,17,16,18,20,17,18,16
24,17,20,16,21,16,21,20,17,14,14,18,15,14,15,17,28,20,18,15,19,17,19,18,19
17,29,20,15,18,18,20,21,21,11,12,22,14,14,24,16,15,17,23,21,10,21,18,16,19
20,23,11,18,17,17,27,21,24,12,19,17,10,17,25,18,18,18,17,23,15,17,10,18,20
16,20,15,16,20,24,24,18,15,20,27,16,12,19,23,20,15,23,22,16,17,15,14,9,16
24,5,12,26,16,27,15,20,20,16,16,22,17,14,18,21,18,19,14,24,17,15,21,16,19
16,20,15,15,17,16,11,21,13,19,15,23,15,19,20,25,15,24,23,12,25,19,20,18,16
23,17,17,13,21,21,18,18,22,14,14,12,24,18,19,20,21,17,15,19,14,17,13,20,25
21,17,21,16,20,22,22,23,14,12,18,22,19,18,20,12,19,13,19,13,11,15,19,21,25
17,26,18,14,18,26,17,14,13,21,20,18,23,18,14,13,18,14,19,13,21,16,12,23,26
16,19,20,15,16,26,17,22,23,14,20,16,17,20,14,21,8,16,24,17,9,17,27,19,19
20,20,17,18,17,10,16,21,19,21,22,16,26,13,15,14,15,13,19,22,19,19,18,21,21
19,10,15,23,13,20,14,20,15,24,19,21,15,15,17,15,21,20,16,19,19,15,17,23,27
23,23,15,22,13,16,18,16,18,19,19,24,22,12,24,11,18,10,22,20,17,22,15,16,17
20,24,16,17,9,18,19,22,18,29,14,25,18,18,17,17,17,15,13,14,25,13,16,22,16
24,20,17,18,13,19,19,18,21,22,15,13,18,21,28,21,23,17,18,13,9,18,17,15,15
20,15,23,22,17,14,24,19,17,11,14,16,15,9,16,21,23,26,18,19,22,20,11,23,17
13,16,18,14,11,15,21,13,11,15,20,21,30,20,25,29,14,21,19,19,19,15,20,13,20
12,23,31,13,23,20,22,19,19,13,11,14,16,27,15,21,17,19,21,19,14,23,11,16,13
26,19,21,24,19,17,19,15,22,14,16,15,17,15,13,16,16,15,14,23,19,25,23,15,14
16,17,17,13,21,17,20,22,20,14,14,22,15,20,23,19,12,21,20,22,19,20,14,17,17
19,16,23,22,19,20,11,18,15,12,15,17,13,23,27,15,23,21,25,19,16,14,15,16,18
20,15,16,23,13,18,16,12,18,17,18,17,22,22,21,15,21,23,11,17,23,24,18,12,20
25,20,25,26,14,25,20,12,16,14,22,18,17,20,20,10,14,18,21,20,13,17,12,18,15
19,10,15,15,22,24,18,30,13,14,17,23,18,20,20,20,16,26,18,17,12,16,15,18,16
22,16,18,12,24,16,16,30,19,17,16,23,26,12,10,23,23,15,19,12,11,19,21,17,15
18,18,21,19,18,19,14,11,17,15,11,18,30,15,12,18,11,23,18,22,15,21,28,18,22
23,19,26,14,10,15,23,21,18,15,10,20,24,16,14,15,14,17,16,17,26,14,23,24,18
18,21,18,26,24,13,19,21,15,22,16,15,19,14,20,13,19,15,16,20,21,15,16,17,19
13,12,17,13,17,19,23,18,23,20,17,25,24,15,13,15,18,19,14,18,17,25,19,19,19
