hs1	45675887	55675887	0.127608777
hs1	55675888	99581603	0
hs1	99581604	109581604	0.109963176
hs1	106934533	116934533	0.244253761
hs1	116934532	163425884	0
hs1	163425883	173425883	0.188188469
hs1	169329191	179329191	0.286480715
hs1	179329190	181393566	0
hs1	181393565	191393565	0.09060905
hs1	188748555	198748555	1.706106122
hs1	198748554	221888655	0
hs1	221888654	231888654	1.010905782
hs1	231888653	234083642	0
hs1	234083641	244083641	0.336749313
hs1	239397797	249397797	0.088260977
hs10	71631216	81631216	0.510617274
hs10	81631215	84641816	0
hs10	84641815	94641815	0.219793539
hs10	94641814	95974071	0
hs10	95974070	105974070	0.274561104
hs10	97951160	107951160	0.16181749
hs10	107951159	116196504	0
hs10	116196503	126196503	0.221556765
hs10	126196502	127139903	0
hs10	127139902	137139902	5.384596159
hs10	133022785	143022785	0.402150594
hs10	134908190	144908190	0.401998881
hs11	5470408	15470408	0.332236061
hs11	8350555	18350555	0.234758599
hs11	18350554	34161342	0
hs11	34161341	44161341	0.433351359
hs11	43099503	53099503	0.11584904
hs11	53099502	84980735	0
hs11	84980734	94980734	0.789542019
hs11	88087255	98087255	0.091869473
hs11	92861647	102861647	0.13228492
hs11	94045731	104045731	0.447661479
hs11	94048896	104048896	0.248605511
hs11	97326785	107326785	0.190727292
hs11	107326784	115043034	0
hs11	115043033	125043033	0.127879631
hs11	117506570	127506570	0.452308191
hs11	123516528	133516528	2.966873253
hs11	129560658	139560658	0.304798786
hs12	40717911	50717911	0.269876268
hs12	41276502	51276502	0.314478775
hs12	42784039	52784039	0.321644835
hs12	52784038	116308532	0
hs12	116308531	126308531	0.419754928
hs13	40455905	50455905	0.401946389
hs13	47430361	57430361	1.322682199
hs13	57430360	66931943	0
hs13	66931942	76931942	0.695697635
hs13	76931941	79159986	0
hs13	79159985	89159985	0.270616334
hs13	84595018	94595018	0.361443357
hs13	92654445	102654445	0.174236047
hs13	95433485	105433485	0.679240311
hs13	97971976	107971976	0.93115627
hs13	104312064	114312064	0.120767131
hs13	104815490	114815490	0.326439121
hs14	38033902	48033902	0.37207553
hs14	48033901	48138165	0
hs14	48138164	58138164	2.771674855
hs14	48579727	58579727	0.105532459
hs14	57423222	67423222	0.289063488
hs14	59303124	69303124	0.204166599
hs14	59583360	69583360	0.339917196
hs14	69583359	78677840	0
hs14	78677839	88677839	0.098893883
hs14	82666170	92666170	0.201473323
hs15	36068828	46068828	0.419400167
hs15	46068827	65325136	0
hs15	65325135	75325135	1.152085153
hs15	75325134	89933069	0
hs15	89933068	99933068	0.562878051
hs16	25942577	35942577	0.445395218
